Node,Classroom Code,Day Number,Start Time,End Time,People Count,Door Count
328,347,2,1630,1730,56,2
328,347,4,1500,1630,56,2
328,347,3,1630,1700,71,2
328,347,1,1030,1130,39,2
328,347,3,1330,1430,39,2
328,347,1,1200,1330,52,2
328,347,2,1200,1330,52,2
328,347,5,1200,1500,22,2
328,347,1,1500,1630,67,2
328,347,3,1500,1630,67,2
328,347,2,900,1200,82,2
328,347,5,1900,2200,3,2
328,347,3,1830,2100,21,2
337,332,1,900,2200,20,2
337,332,2,900,2200,20,2
337,332,3,900,2200,20,2
337,332,4,900,2200,20,2
337,332,5,900,2200,20,2
337,341,1,900,2200,3,1
337,341,2,900,2200,3,1
337,341,3,900,2200,3,1
337,341,4,900,2200,3,1
337,341,5,900,2200,3,1
340,338,1,900,2200,3,1
340,338,2,900,2200,3,1
340,338,3,900,2200,3,1
340,338,4,900,2200,3,1
340,338,5,900,2200,3,1
405,411,1,900,2200,3,2
405,411,2,900,2200,3,2
405,411,3,900,2200,3,2
405,411,4,900,2200,3,2
405,411,5,900,2200,3,2
405,415,1,900,2200,3,2
405,415,2,900,2200,3,2
405,415,3,900,2200,3,2
405,415,4,900,2200,3,2
405,415,5,900,2200,3,2
407,409,1,900,2200,3,2
407,409,2,900,2200,3,2
407,409,3,900,2200,3,2
407,409,4,900,2200,3,2
407,409,5,900,2200,3,2
407,417,1,900,2200,3,2
407,417,2,900,2200,3,2
407,417,3,900,2200,3,2
407,417,4,900,2200,3,2
407,417,5,900,2200,3,2
409,407,1,900,2200,3,2
409,407,2,900,2200,3,2
409,407,3,900,2200,3,2
409,407,4,900,2200,3,2
409,407,5,900,2200,3,2
409,419,1,900,2200,3,2
409,419,2,900,2200,3,2
409,419,3,900,2200,3,2
409,419,4,900,2200,3,2
409,419,5,900,2200,3,2
410,406,4,1600,2130,7,1
410,406,3,900,1300,11,1
410,406,5,1600,1940,11,1
410,406,5,900,1500,8,1
410,406,3,1300,1900,14,1
410,406,2,1600,2200,6,1
410,420,1,900,2200,3,1
410,420,2,900,2200,3,1
410,420,3,900,2200,3,1
410,420,4,900,2200,3,1
410,420,5,900,2200,3,1
411,405,4,1600,2130,7,1
411,405,3,900,1300,8,1
411,405,5,900,1300,8,1
411,405,1,1600,2030,9,1
411,405,3,1600,2030,9,1
411,405,2,1600,2200,9,1
411,405,5,1500,2100,13,1
411,421,2,1600,2130,8,1
411,421,4,1600,2130,7,1
411,421,3,900,1300,9,1
411,421,5,1600,1940,9,1
411,421,1,1600,2030,4,1
411,421,4,1600,2030,4,1
411,421,2,900,1500,3,1
411,421,3,1300,1830,3,1
411,421,3,2100,2130,3,1
412,404,2,1600,2130,7,1
412,404,1,1600,2030,9,1
412,404,3,1600,2030,9,1
412,404,2,900,1500,12,1
412,404,5,1500,2100,6,1
412,404,4,1600,2200,7,1
412,404,4,900,1400,13,1
414,402,1,900,2200,3,1
414,402,2,900,2200,3,1
414,402,3,900,2200,3,1
414,402,4,900,2200,3,1
414,402,5,900,2200,3,1
416,401,1,900,2200,3,1
416,401,2,900,2200,3,1
416,401,3,900,2200,3,1
416,401,4,900,2200,3,1
416,401,5,900,2200,3,1
423,452,1,900,2200,1,1
423,452,2,900,2200,1,1
423,452,3,900,2200,1,1
423,452,4,900,2200,1,1
423,452,5,900,2200,1,1
425,423,1,900,2200,10,1
425,423,2,900,2200,10,1
425,423,3,900,2200,10,1
425,423,4,900,2200,10,1
425,423,5,900,2200,10,1
431,450,5,1330,1600,37,2
431,450,5,1200,1330,38,2
431,450,3,1630,1730,19,2
431,450,5,1630,1730,19,2
431,450,2,1030,1300,43,2
431,450,5,900,1200,36,2
431,450,1,1330,1430,24,2
431,450,3,1330,1430,24,2
431,450,1,1030,1130,32,2
431,450,3,1030,1130,32,2
431,450,2,1330,1430,19,2
431,450,4,1030,1130,28,2
431,450,5,1900,2200,3,2
431,450,6,1330,1600,2,2
431,450,6,930,1200,5,2
432,427,1,900,2200,7,1
432,427,2,900,2200,7,1
432,427,3,900,2200,7,1
432,427,4,900,2200,7,1
432,427,5,900,2200,7,1
433,428,1,900,2200,3,1
433,428,2,900,2200,3,1
433,428,3,900,2200,3,1
433,428,4,900,2200,3,1
433,428,5,900,2200,3,1
434,447,4,1500,1800,4,1
434,447,3,1330,1600,6,1
